Time,r6in.8xlarge
2024-06-02T05:00:00Z,25.65373757
2024-06-02T06:00:00Z,25.65373757
2024-06-02T07:00:00Z,25.65373757
2024-06-02T08:00:00Z,25.65373757
2024-06-02T09:00:00Z,25.65376168
2024-06-02T10:00:00Z,25.65373757
2024-06-02T11:00:00Z,25.65373757
2024-06-02T12:00:00Z,25.65373757
2024-06-02T13:00:00Z,25.65373757
2024-06-02T14:00:00Z,25.65373757
2024-06-02T15:00:00Z,25.65373757
2024-06-02T16:00:00Z,25.65374281
2024-06-02T17:00:00Z,25.65377737
2024-06-02T18:00:00Z,25.65379155
2024-06-02T19:00:00Z,25.65373757
2024-06-02T20:00:00Z,25.65373757
2024-06-02T21:00:00Z,25.65373757
2024-06-02T22:00:00Z,25.65373757
2024-06-02T23:00:00Z,48.97885757
2024-06-03T00:00:00Z,48.97886472
2024-06-03T01:00:00Z,48.97885757
2024-06-03T02:00:00Z,48.97885757
2024-06-03T03:00:00Z,48.97885757
2024-06-03T04:00:00Z,48.97885757
2024-06-03T05:00:00Z,48.97887857
2024-06-03T06:00:00Z,48.97885757
2024-06-03T07:00:00Z,48.97885757
2024-06-03T08:00:00Z,48.97885757
2024-06-03T09:00:00Z,48.97885757
2024-06-03T10:00:00Z,48.97885757
2024-06-03T11:00:00Z,48.97885757
2024-06-03T12:00:00Z,48.97885757
2024-06-03T13:00:00Z,48.97889996
2024-06-03T14:00:00Z,48.97885757
2024-06-03T15:00:00Z,48.97885757
2024-06-03T16:00:00Z,48.97885757
2024-06-03T17:00:00Z,48.97885757
2024-06-03T18:00:00Z,48.97891015
2024-06-03T19:00:00Z,48.97885757
2024-06-03T20:00:00Z,48.97889431
2024-06-03T21:00:00Z,48.97886539
2024-06-03T22:00:00Z,48.97885757
2024-06-03T23:00:00Z,48.97885757
2024-06-04T00:00:00Z,48.97886574
2024-06-04T01:00:00Z,48.97888611
2024-06-04T02:00:00Z,48.97885757
2024-06-04T03:00:00Z,48.97885757
2024-06-04T04:00:00Z,48.97885757
2024-06-04T05:00:00Z,48.97886727
2024-06-04T06:00:00Z,48.97971639
2024-06-04T07:00:00Z,48.9791496
